matchid,player,championid,ss1,ss2,role,position,win,kills,deaths,assists,totdmgdealt,magicdmgdealt,physicaldmgdealt,truedmgdealt,totdmgtaken,magicdmgtaken,physdmgtaken,truedmgtaken,totminionskilled,neutralminionskilled,ownjunglekills,enemyjunglekills
50687,7,57,4,14,DUO_SUPPORT,BOT,0,2,6,1,32188,27710,3652,826,14738,3590,9554,1594,11,0,0,0
50705,7,57,4,14,DUO_SUPPORT,BOT,0,0,8,2,18756,17284,1192,279,11341,3440,7477,424,11,0,0,0
50733,8,57,14,4,DUO_SUPPORT,BOT,0,3,7,4,86050,79135,6139,776,22071,12395,8049,1625,52,5,5,0
50756,2,57,4,3,DUO_SUPPORT,BOT,1,0,5,16,32436,17770,6455,8210,21789,6503,14345,939,45,0,0,0
50782,4,57,4,14,DUO_SUPPORT,BOT,0,2,6,9,60383,54556,5133,692,20642,10171,9932,539,58,3,3,0
50799,1,57,4,3,DUO_SUPPORT,BOT,0,1,7,17,42184,30585,4708,6890,21899,6411,13730,1758,51,0,0,0
50836,7,57,4,3,DUO_SUPPORT,BOT,0,0,4,9,31711,22252,4715,4743,18580,7340,10817,422,32,2,0,2
50848,1,57,14,4,DUO_SUPPORT,BOT,0,3,10,13,51755,33545,8657,9552,45578,19988,23992,1597,52,0,0,0
50930,6,57,14,4,DUO_SUPPORT,BOT,1,4,0,6,39182,31098,7229,853,7524,2241,5082,201,33,0,0,0
51019,3,57,4,14,DUO_SUPPORT,BOT,1,2,6,12,63952,58536,4834,582,26545,12532,13892,120,28,0,0,0
51062,6,57,4,3,DUO_SUPPORT,BOT,0,1,3,4,40412,35817,3202,1391,11858,6680,4555,623,34,2,2,0
51148,10,57,3,4,DUO_SUPPORT,BOT,0,1,9,11,30319,25569,4357,392,21952,4211,14878,2862,15,4,4,0
51152,8,57,14,4,DUO_SUPPORT,BOT,1,1,2,10,44828,28143,10011,6673,15735,7268,8027,439,52,0,0,0
51157,10,57,3,4,DUO_SUPPORT,BOT,0,2,7,8,27977,18908,4315,4752,23578,6214,15883,1480,36,0,0,0
51177,3,57,4,14,DUO_SUPPORT,BOT,1,0,2,14,24187,18566,5237,384,10194,4864,5184,145,15,0,0,0
51178,1,57,4,3,DUO_SUPPORT,BOT,0,3,12,10,45335,38561,6774,0,24668,9218,13764,1684,21,0,0,0
51184,9,57,4,14,DUO_SUPPORT,BOT,0,5,9,13,63842,59792,3530,519,27208,11465,14887,855,32,2,1,1
51199,5,57,4,14,DUO_SUPPORT,BOT,1,2,3,9,32897,28475,3711,710,9388,2555,6833,0,15,2,0,2
51241,4,57,4,14,DUO_SUPPORT,BOT,0,2,4,8,32559,26867,4896,796,19350,7230,11817,302,14,0,0,0
51459,2,57,3,4,DUO_SUPPORT,BOT,0,3,5,7,40060,30505,5537,4017,19621,7811,8347,3462,41,0,0,0
51471,5,57,4,14,DUO_SUPPORT,BOT,1,7,9,15,96489,85515,8524,2449,32037,8585,22420,1031,98,1,1,0
51506,9,57,3,4,DUO_SUPPORT,BOT,1,1,11,13,43293,30671,6268,6353,27059,7588,18256,1213,39,4,0,4
