matchid,player,championid,ss1,ss2,role,position,win,kills,deaths,assists,totdmgdealt,magicdmgdealt,physicaldmgdealt,truedmgdealt,totdmgtaken,magicdmgtaken,physdmgtaken,truedmgtaken,totminionskilled,neutralminionskilled,ownjunglekills,enemyjunglekills
29243,6,89,4,14,DUO_SUPPORT,BOT,1,2,8,28,49446,21089,16929,11427,37871,24598,12584,688,68,0,0,0
97105,7,412,14,4,DUO_SUPPORT,BOT,0,1,5,5,13073,8396,3747,929,15703,8203,6761,738,26,0,0,0
27935,5,412,4,3,DUO_SUPPORT,BOT,0,3,9,19,55524,40637,11985,2900,29822,8840,20596,386,60,0,0,0
29871,6,412,4,3,DUO_SUPPORT,BOT,0,2,10,17,20813,12535,7678,599,30320,11203,18791,326,23,0,0,0
64179,3,201,3,4,DUO_SUPPORT,BOT,0,1,9,8,20175,9745,5937,4492,29427,9080,17778,2569,36,0,0,0
32181,8,201,4,3,DUO_SUPPORT,BOT,0,2,1,7,22867,7739,6884,8243,15656,7001,8023,631,47,0,0,0
47039,6,98,3,4,DUO_SUPPORT,BOT,0,4,8,18,29058,8979,12408,7670,41984,7940,33016,1027,38,0,0,0
34142,9,412,4,14,DUO_SUPPORT,BOT,1,4,9,26,35928,22230,7474,6224,33104,17094,15413,596,56,0,0,0
26938,6,412,3,4,DUO_SUPPORT,BOT,0,2,7,4,19405,12592,6394,418,17872,5725,11033,1114,42,0,0,0
58600,8,412,4,3,DUO_SUPPORT,BOT,1,1,5,20,26389,15211,9802,1375,16590,5878,8550,2160,37,0,0,0
90167,7,89,3,4,DUO_SUPPORT,BOT,0,0,6,11,25936,12593,8248,5095,19168,8718,9540,909,44,0,0,0
70872,9,412,4,14,DUO_SUPPORT,BOT,0,1,9,14,19469,11475,6164,1829,26736,12628,13626,481,25,0,0,0
26912,10,412,4,3,DUO_SUPPORT,BOT,1,2,2,18,26037,18118,7607,312,21259,10786,9622,849,32,2,0,2
26342,10,201,4,3,DUO_SUPPORT,BOT,0,2,3,5,28835,14216,7573,7044,18416,12302,5174,939,59,0,0,0
41314,9,412,3,4,DUO_SUPPORT,BOT,0,2,9,6,25548,17029,7993,525,19748,5345,13912,491,38,0,0,0
91342,3,412,14,4,DUO_SUPPORT,BOT,0,5,6,19,48654,35640,10291,2721,36045,13517,19312,3214,64,0,0,0
30665,1,412,4,14,DUO_SUPPORT,BOT,1,3,10,27,20669,14808,4146,1714,27691,10531,14802,2358,5,0,0,0
51643,4,89,14,4,DUO_SUPPORT,BOT,1,3,4,13,28353,13980,8703,5669,13671,4530,8694,446,30,0,0,0
77588,6,412,14,4,DUO_SUPPORT,BOT,1,2,2,10,23484,13448,6931,3105,14660,7611,6741,307,14,1,0,1
59458,3,412,14,4,DUO_SUPPORT,BOT,0,2,6,16,30515,21122,8092,1300,24705,7964,15146,1595,31,6,5,1
87998,10,201,4,3,DUO_SUPPORT,BOT,0,3,3,4,10783,5230,2947,2605,12822,4644,7550,626,18,0,0,0
95599,8,201,4,3,DUO_SUPPORT,BOT,0,0,7,12,52720,16696,17612,18410,33744,15975,16690,1077,52,1,1,0
16354,2,89,4,3,DUO_SUPPORT,BOT,1,0,3,10,34333,11542,10051,12739,16570,4977,11593,0,51,1,1,0
39309,10,44,3,4,DUO_SUPPORT,BOT,0,0,4,4,13789,1601,4581,7607,7763,933,6473,356,43,0,0,0
36317,10,44,3,4,DUO_SUPPORT,BOT,0,1,9,16,22330,10454,7999,3876,22889,10510,11976,402,30,0,0,0
42593,8,412,14,4,DUO_SUPPORT,BOT,0,2,6,9,30414,21185,5507,3721,33554,22093,10727,733,45,2,1,1
73218,5,223,4,3,DUO_SUPPORT,BOT,0,3,9,8,35615,20945,9160,5508,27369,12885,13462,1020,56,2,2,0
15424,6,412,3,4,DUO_SUPPORT,BOT,0,5,7,18,31587,21589,9925,73,25395,5476,17138,2780,46,0,0,0
23253,1,201,3,4,DUO_SUPPORT,BOT,0,0,7,7,17003,7815,5194,3993,14973,3070,11573,329,28,0,0,0
40823,10,412,4,3,DUO_SUPPORT,BOT,0,0,4,9,14158,9447,3782,928,11847,2347,9198,301,23,0,0,0
60474,8,412,14,4,DUO_SUPPORT,BOT,1,3,4,21,27419,18282,8783,354,20703,4972,14927,803,42,0,0,0
32050,4,412,3,4,DUO_SUPPORT,BOT,1,2,1,15,15474,9899,5574,0,9663,4347,5316,0,40,0,0,0
81236,4,89,4,3,DUO_SUPPORT,BOT,1,2,9,28,67023,36600,20972,9449,34257,7636,24373,2247,93,0,0,0
33852,7,412,3,4,DUO_SUPPORT,BOT,0,1,3,8,22124,13110,6513,2500,13124,4788,8002,333,43,0,0,0
64988,10,201,4,3,DUO_SUPPORT,BOT,0,1,10,11,15722,6957,4415,4348,30570,16385,12288,1895,26,0,0,0
